seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
39.0,0.3333333333333333,313913,1000000,23685,210559,1000000,174765,150459,23364,47049,762796,843646,1000000,185714,35957,27461,183589,87153,1000000,9706,26959,117058,74572,39694,1000000,24101,28315,104788,15376,29680,1000000,339910,1000000,25.430276350804753,43.89018423386984,100100_3754_0700408,2021-07-08 18:46:38.578,72.9907883065082,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
42.0,0.3333333333333333,313420,1000000,23681,210447,1000000,174799,150465,23361,47089,764024,844309,1000000,185657,35960,27461,183440,87160,1000000,9712,26953,117041,74565,39706,1000000,24099,28333,104804,15377,29682,1000000,340143,1000000,25.44854656910295,43.89,100100_3754_0700408,2021-07-08 18:46:41.578,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
45.0,0.3333333333333333,313171,1000000,23687,210974,1000000,174741,150453,23362,47038,764108,844075,1000000,185677,35960,27460,183746,87137,1000000,9705,26959,117048,74565,39697,1000000,24100,28314,104782,15376,29685,1000000,340270,1000000,25.457110655282182,43.89144467235891,100100_3754_0700408,2021-07-08 18:46:44.578,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
48.0,0.3333333333333333,313778,1000000,23688,210292,1000000,174862,150076,23355,47022,763451,843575,1000000,185681,35959,27465,183474,87142,1000000,9705,26962,117051,74555,39695,1000000,24105,28317,104818,15375,29684,1000000,340311,1000000,25.457838114734077,43.90351434420222,100100_3754_0700408,2021-07-08 18:46:47.578,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
51.0,0.3333333333333333,314014,1000000,23688,210183,1000000,174854,150451,23363,47073,763527,844111,1000000,185647,35958,27457,183605,87114,1000000,9709,26963,117051,74537,39696,1000000,24104,28338,104773,15376,29676,1000000,340254,1000000,25.46,43.88,100100_3754_0700408,2021-07-08 18:46:50.578,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
54.0,0.3333333333333333,313474,1000000,23675,210194,1000000,174856,150436,23362,47060,764153,844200,1000000,185617,35953,27458,183513,87102,1000000,9707,26954,117039,74531,39691,1000000,24106,28330,104756,15374,29680,1000000,340299,1000000,25.45,43.88720000215188,100100_3754_0700408,2021-07-08 18:46:53.578,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
57.0,0.3333333333333333,313236,1000000,23686,210051,1000000,174790,150467,23362,47054,763601,844556,1000000,185583,35947,27445,183515,87112,1000000,9710,26951,117021,74516,39696,1000000,24096,28330,104737,15371,29674,1000000,340246,1000000,25.445680653320593,43.88,100100_3754_0700408,2021-07-08 18:46:56.578,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
60.0,0.3333333333333333,312976,1000000,23683,210295,1000000,174731,150325,23363,47058,764003,843493,1000000,185613,35943,27462,183473,87110,1000000,9712,26948,117013,74519,39690,1000000,24100,28330,104656,15369,29676,1000000,340361,1000000,25.45094650470227,43.86452674764887,100100_3754_0700408,2021-07-08 18:46:59.578,72.72633738244332,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
63.0,0.3333333333333333,313536,1000000,23681,210229,1000000,174758,150242,23355,47054,764066,844036,1000000,185566,35934,27447,183369,87116,1000000,9709,26944,117002,74494,39689,1000000,24099,28296,104631,15366,29675,1000000,340300,1000000,25.46,43.85634773688796,100100_3754_0700408,2021-07-08 18:47:02.578,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
66.0,0.3333333333333333,313544,1000000,23673,210004,1000000,174749,150506,23353,47044,763983,842759,1000000,185535,35928,27441,183539,87149,1000000,9709,26941,117003,74493,39687,1000000,24093,28270,104630,15363,29674,1000000,340457,1000000,25.46,43.84,100100_3754_0700408,2021-07-08 18:47:05.578,70.64219227237807,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
