seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,589620,1000000,564891,190334,401127,12152,133749,16752,36443,815044,64117,1000000,116227,14275,119765,151542,1000000,125270,20029,148357,237313,44472,43555,22047,11063,217471,71908,23947,54104,181724,673536,1000000,25.6,42.46,100095_3726_0700403,2021-07-08 18:46:02.635,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
3.0,0.3333333333333333,590619,1000000,563183,190337,401100,12147,133850,16754,36444,815208,64110,1000000,116211,14275,119866,151591,1000000,125167,20048,148392,237458,44467,43551,22043,11064,217309,71911,23954,54114,181717,674488,1000000,25.64096242938092,42.45451878530954,100095_3726_0700403,2021-07-08 18:46:05.635,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
6.0,0.3333333333333333,590215,1000000,562370,189991,401416,12150,133938,16751,36453,814977,64101,1000000,116215,14274,119871,151561,1000000,125157,20043,148292,237651,44465,43558,22041,11064,216967,71939,23946,54115,181620,675131,1000000,25.638168724335355,42.46633744867071,100095_3726_0700403,2021-07-08 18:46:08.635,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
9.0,0.3333333333333333,589892,1000000,564075,189860,401034,12148,133692,16752,36438,815172,64093,1000000,116216,14272,120097,151585,1000000,125091,20043,148346,237681,44463,43554,22041,11065,217186,71921,23952,54111,181762,675108,1000000,25.618743563496075,42.442914521165356,100095_3726_0700403,2021-07-08 18:46:11.635,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
12.0,0.3333333333333333,589009,1000000,563748,190121,401236,12147,133912,16752,36437,815288,64118,1000000,116209,14274,120303,151665,1000000,125088,20043,148222,237624,44464,43558,22042,11065,217239,71987,23954,54113,181718,674997,1000000,25.646862136402426,42.45767489611498,100095_3726_0700403,2021-07-08 18:46:14.635,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
15.0,0.3333333333333333,589400,1000000,562911,190231,401165,12149,133890,16751,36442,814920,64111,1000000,116191,14275,119976,151686,1000000,125224,20030,148226,237562,44467,43558,22039,11064,217187,71957,23949,54099,181627,674808,1000000,25.634814814723967,42.46,100095_3726_0700403,2021-07-08 18:46:17.635,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
18.0,0.3333333333333333,589383,1000000,563582,190237,400925,12150,133800,16754,36450,815308,64110,1000000,116197,14279,120163,151632,1000000,125139,20042,148311,237543,44466,43557,22039,11068,217329,71936,23949,54106,181842,674223,1000000,25.641575691518266,42.45,100095_3726_0700403,2021-07-08 18:46:20.635,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
21.0,0.3333333333333333,589019,1000000,561332,190349,401083,12150,133897,16753,36440,815684,64109,1000000,116209,14273,120041,151671,1000000,125161,20050,148234,237657,44461,43552,22042,11066,217303,71978,23948,54112,181779,673832,1000000,25.636879506564487,42.45343975328225,100095_3726_0700403,2021-07-08 18:46:23.635,71.67198766411224,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
24.0,0.3333333333333333,589088,1000000,562213,189830,401005,12150,133921,16752,36433,815313,64096,1000000,116208,14272,119655,151618,1000000,125194,20037,148155,237637,44451,43557,22036,11065,217330,71929,23949,54116,181711,673623,1000000,25.652572016768776,42.46,100095_3726_0700403,2021-07-08 18:46:26.635,71.87139916156123,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
27.0,0.3333333333333333,590503,1000000,562532,189855,401231,12146,133951,16748,36432,814966,64121,1000000,116203,14271,119837,151611,1000000,125107,20038,148189,237763,44454,43554,22035,11062,217273,71931,23949,54122,181760,674071,1000000,25.651561530731094,42.44843846926891,100095_3726_0700403,2021-07-08 18:46:29.635,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,4db6d7aa-c397-4d5d-b4fc-980e1f092bb2,baseline
