seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
39.0,0.3333333333333333,140543,1000000,24469,92296,272037,597551,73584,57064,28059,1000000,1000000,1000000,410291,34061,51505,107504,65262,695466,8761,20327,71527,38771,86561,384882,36884,25818,70365,241996,27619,48836,327485,477305,25.409558514382955,42.58,100098_3746_0700406,2021-07-08 22:16:31.487,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
42.0,0.3333333333333333,140534,1000000,24465,92216,271967,597629,73536,57065,28053,1000000,1000000,1000000,410367,34054,51503,107563,65252,695550,8758,20326,71521,38766,86557,384950,36869,25822,70305,241527,27612,48822,326899,476315,25.444419320778906,42.585580679221096,100098_3746_0700406,2021-07-08 22:16:34.487,70.61048301947265,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
45.0,0.3333333333333333,140455,1000000,24456,92315,272199,598057,73549,57054,28048,1000000,1000000,1000000,410051,34052,51512,107603,65224,695866,8764,20330,71512,38762,86603,384922,36876,25837,70343,241782,27620,48816,326979,476510,25.467366256849935,42.56,100098_3746_0700406,2021-07-08 22:16:37.487,71.1579217893758,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
48.0,0.3333333333333333,140541,1000000,24449,92309,272359,597540,73546,57066,28056,1000000,1000000,1000000,410104,34052,51584,107557,65291,695468,8759,20332,71525,38760,86560,384875,36882,25831,70326,241919,27614,48836,327585,476593,25.444008222867698,42.57,100098_3746_0700406,2021-07-08 22:16:40.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
51.0,0.3333333333333333,140517,1000000,24446,92257,272512,596819,73505,57061,28056,1000000,1000000,1000000,410011,34054,51568,107584,65270,695828,8761,20328,71525,38763,86585,384895,36878,25832,70365,241816,27608,48814,327402,476484,25.440561334549383,42.56018711151646,100098_3746_0700406,2021-07-08 22:16:43.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
54.0,0.3333333333333333,140505,1000000,24454,92328,272203,598477,73470,57058,28062,1000000,1000000,1000000,410212,34059,51603,107621,65276,695926,8761,20334,71521,38765,86555,384926,36879,25792,70328,241927,27611,48791,327700,476920,25.43838643312592,42.56419321656296,100098_3746_0700406,2021-07-08 22:16:46.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
57.0,0.3333333333333333,140558,1000000,24465,92288,272414,598422,73543,57056,28058,1000000,1000000,1000000,409993,34053,51544,107528,65302,696184,8760,20335,71509,38760,86543,384960,36878,25809,70357,241974,27608,48822,328447,476740,25.45333333169809,42.57333333415095,100098_3746_0700406,2021-07-08 22:16:49.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
60.0,0.3333333333333333,140400,1000000,24456,92273,272528,598905,73455,57057,28057,1000000,1000000,1000000,410088,34055,51562,107513,65310,694921,8760,20334,71516,38757,86545,384975,36868,25798,70345,241789,27611,48826,328488,475954,25.47008230592983,42.57,100098_3746_0700406,2021-07-08 22:16:52.487,72.87602882412286,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
63.0,0.3333333333333333,140577,1000000,24441,92225,272265,598050,73521,57046,28062,1000000,1000000,1000000,409893,34038,51569,107560,65264,695408,8758,20327,71521,38752,86504,384703,36856,25827,70223,241782,27599,48803,328118,477283,25.451634120768222,42.56,100098_3746_0700406,2021-07-08 22:16:55.487,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
66.0,0.3333333333333333,140279,1000000,24438,92283,272488,597723,73501,57032,28068,1000000,1000000,1000000,409778,34031,51579,107503,65255,695603,8758,20321,71506,38743,86507,384780,36848,25839,70259,241872,27622,48827,327664,476949,25.45,42.530781089119536,100098_3746_0700406,2021-07-08 22:16:58.487,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
69.0,0.3333333333333333,140416,1000000,24468,92197,272630,599194,73514,57051,28064,1000000,1000000,1000000,409775,34045,51520,107502,65263,695371,8757,20324,71503,38751,86538,384772,36883,25828,70350,241622,27639,48805,327979,476740,25.42975051803988,42.53012474098006,100098_3746_0700406,2021-07-08 22:17:01.487,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
72.0,0.3333333333333333,140538,1000000,24453,92333,272735,600738,73488,57056,28062,1000000,1000000,1000000,410448,34061,51504,107467,65259,695818,8762,20332,71514,38771,86540,384822,36889,25847,70400,241812,27637,48837,327384,477505,25.46783950605171,42.56108024697415,100098_3746_0700406,2021-07-08 22:17:04.487,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
75.0,0.3333333333333333,140367,1000000,24468,92265,272712,599762,73508,57059,28053,1000000,1000000,1000000,410059,34058,51569,107511,65238,696141,8758,20326,71521,38766,86561,384740,36892,25825,70377,241664,27623,48823,327746,477056,25.442826306315666,42.57,100098_3746_0700406,2021-07-08 22:17:07.487,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
78.0,0.3333333333333333,140521,1000000,24461,92285,272210,599432,73494,57053,28053,1000000,1000000,1000000,410098,34051,51531,107532,65274,695064,8755,20328,71515,38757,86553,384693,36902,25818,70322,241862,27627,48830,327277,477043,25.428950617177964,42.56895061717797,100098_3746_0700406,2021-07-08 22:17:10.487,72.85082304703396,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
81.0,0.3333333333333333,140454,1000000,24462,92281,272521,599108,73462,57056,28052,1000000,1000000,1000000,410132,34054,51502,107457,65238,695556,8758,20331,71524,38766,86563,384818,36905,25822,70383,242002,27622,48822,327845,476679,25.458487655827533,42.56616255194251,100098_3746_0700406,2021-07-08 22:17:13.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
84.0,0.3333333333333333,140355,1000000,24468,92278,272510,597150,73477,57059,28054,1000000,1000000,1000000,410119,34062,51549,107493,65261,695783,8758,20328,71524,38769,86562,385024,36919,25822,70418,241782,27630,48851,327710,476918,25.449373074335135,42.56937307433514,100098_3746_0700406,2021-07-08 22:17:16.487,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
87.0,0.3333333333333333,140445,1000000,24466,92223,272290,599412,73532,57061,28050,1000000,1000000,1000000,410109,34066,51539,107464,65222,696061,8762,20332,71517,38767,86577,384877,36897,25833,70439,241858,27628,48855,328008,477032,25.507160618885198,42.59786010314753,100098_3746_0700406,2021-07-08 22:17:19.487,72.89300515737663,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
90.0,0.3333333333333333,140377,1000000,24465,92218,272455,597865,73453,57060,28062,1000000,1000000,1000000,410482,34072,51517,107480,65273,696000,8755,20339,71519,38769,86577,385120,36910,25849,70439,241811,27622,48849,328096,476110,25.43987538851342,42.59,100098_3746_0700406,2021-07-08 22:17:22.487,72.16458980855703,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
93.0,0.3333333333333333,140419,1000000,24481,92236,272530,598705,73528,57072,28051,1000000,1000000,1000000,410223,34065,51546,107449,65243,695783,8756,20334,71516,38773,86583,384801,36882,25810,70452,241973,27639,48852,327863,477763,25.43,42.6,100098_3746_0700406,2021-07-08 22:17:25.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
96.0,0.3333333333333333,140435,1000000,24481,92329,272279,597466,73521,57062,28059,1000000,1000000,1000000,410390,34070,51542,107479,65262,695036,8765,20332,71533,38769,86554,384953,36870,25813,70429,241813,27627,48861,327637,475671,25.448558186644142,42.59855818664414,100098_3746_0700406,2021-07-08 22:17:28.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
