seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
39.0,0.3333333333333333,150278,1000000,265198,131567,154800,11444,124886,71555,61718,1000000,771698,1000000,444611,12110,77723,89251,942438,56747,325465,55721,257458,54233,80218,433376,41684,232342,45742,19243,381936,1000000,434542,1000000,25.499267662770162,36.9265446104617,100084_3681_0700302,2021-07-08 22:16:36.628,71.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
42.0,0.3333333333333333,150311,1000000,265269,131723,154808,11444,124915,71594,61674,1000000,771859,1000000,444459,12116,77787,89260,942230,56711,325538,55718,257399,54212,80225,433406,41692,232606,45733,19245,381745,1000000,434571,1000000,25.467938141441202,36.9159793804804,100084_3681_0700302,2021-07-08 22:16:39.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
45.0,0.3333333333333333,150318,1000000,265014,131591,154759,11445,124920,71588,61705,1000000,772020,1000000,444611,12113,77775,89247,941432,56701,325756,55733,257425,54226,80207,433259,41687,232494,45738,19243,380772,1000000,434521,1000000,25.470206185364294,36.92494845365893,100084_3681_0700302,2021-07-08 22:16:42.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
48.0,0.3333333333333333,150233,1000000,265064,131619,154764,11446,124939,71586,61748,1000000,772248,1000000,444548,12112,77772,89258,941958,56754,325930,55732,257453,54239,80210,433166,41694,232520,45765,19243,382009,1000000,434615,1000000,25.46,36.93587628779825,100084_3681_0700302,2021-07-08 22:16:45.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
51.0,0.3333333333333333,150203,1000000,265306,131796,154751,11447,124925,71605,61719,1000000,772371,1000000,444444,12112,77745,89267,944463,56706,325891,55739,257423,54234,80209,433400,41667,232547,45697,19244,383164,1000000,434666,1000000,25.45639175120899,36.9331958756045,100084_3681_0700302,2021-07-08 22:16:48.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
54.0,0.3333333333333333,150349,1000000,265072,131681,154762,11448,124878,71593,61750,1000000,772037,1000000,444498,12115,77823,89266,941980,56689,325511,55720,257476,54220,80225,433504,41677,232493,45690,19239,381775,1000000,434530,1000000,25.477772021416662,36.93,100084_3681_0700302,2021-07-08 22:16:51.628,72.38860107083305,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
57.0,0.3333333333333333,150410,1000000,265028,131620,154836,11444,124920,71580,61739,1000000,772010,1000000,444487,12115,77720,89251,939498,56707,325588,55721,257425,54230,80211,433199,41681,232302,45702,19238,381918,1000000,434565,1000000,25.48881443292634,36.93881443292634,100084_3681_0700302,2021-07-08 22:16:54.628,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
60.0,0.3333333333333333,150366,1000000,265080,131683,154976,11444,124948,71560,61741,1000000,772039,1000000,444560,12115,77832,89252,939217,56715,325940,55729,257450,54222,80233,432972,41662,232508,45717,19244,381741,1000000,434641,1000000,25.45,36.91974226706567,100084_3681_0700302,2021-07-08 22:16:57.628,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
63.0,0.3333333333333333,150337,1000000,265239,131848,154919,11447,124995,71556,61711,1000000,772214,1000000,444249,12114,77921,89272,940373,56747,325740,55739,257514,54233,80212,433098,41702,232674,45733,19248,381105,1000000,434589,1000000,25.477960865466848,36.9013594230221,100084_3681_0700302,2021-07-08 22:17:00.628,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
66.0,0.3333333333333333,150474,1000000,265063,131815,154736,11449,124912,71558,61786,1000000,772392,1000000,444650,12114,77899,89276,942265,56727,325892,55733,257479,54222,80199,433183,41681,232669,45749,19244,381845,1000000,434600,1000000,25.478340206096878,36.92331958780624,100084_3681_0700302,2021-07-08 22:17:03.628,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
